OutputDir, BestValLoss, LR, BS, L_Coord, L_NoObj
checkpoints_grid_search/run_lr0.0001_coord3.0_noobj0.1, 2.6200, 0.0001, 32, 3.0, 0.1
checkpoints_grid_search/run_lr0.0001_coord3.0_noobj0.3, 2.8927, 0.0001, 32, 3.0, 0.3
checkpoints_grid_search/run_lr0.0001_coord3.0_noobj0.5, 2.9953, 0.0001, 32, 3.0, 0.5
checkpoints_grid_search/run_lr0.0001_coord5.0_noobj0.1, 3.2497, 0.0001, 32, 5.0, 0.1
checkpoints_grid_search/run_lr0.0001_coord5.0_noobj0.3, 3.4425, 0.0001, 32, 5.0, 0.3
checkpoints_grid_search/run_lr0.0001_coord5.0_noobj0.5, 3.6005, 0.0001, 32, 5.0, 0.5
checkpoints_grid_search/run_lr0.0001_coord8.0_noobj0.1, 3.9781, 0.0001, 32, 8.0, 0.1
checkpoints_grid_search/run_lr0.0001_coord8.0_noobj0.3, 4.1793, 0.0001, 32, 8.0, 0.3
checkpoints_grid_search/run_lr0.0001_coord8.0_noobj0.5, 4.4157, 0.0001, 32, 8.0, 0.5
checkpoints_grid_search/run_lr0.0001_coord3.0_noobj0.1, 2.7572, 0.0001, 64, 3.0, 0.1
checkpoints_grid_search/run_lr0.0001_coord3.0_noobj0.3, 2.9359, 0.0001, 64, 3.0, 0.3
checkpoints_grid_search/run_lr0.0001_coord3.0_noobj0.5, 3.0477, 0.0001, 64, 3.0, 0.5
checkpoints_grid_search/run_lr0.0001_coord5.0_noobj0.1, 3.3775, 0.0001, 64, 5.0, 0.1
checkpoints_grid_search/run_lr0.0001_coord5.0_noobj0.3, 3.5802, 0.0001, 64, 5.0, 0.3
checkpoints_grid_search/run_lr0.0001_coord5.0_noobj0.5, 3.6574, 0.0001, 64, 5.0, 0.5
checkpoints_grid_search/run_lr0.0001_coord8.0_noobj0.1, 4.3315, 0.0001, 64, 8.0, 0.1
checkpoints_grid_search/run_lr0.0001_coord8.0_noobj0.3, 4.4271, 0.0001, 64, 8.0, 0.3
checkpoints_grid_search/run_lr0.0001_coord8.0_noobj0.5, 4.5578, 0.0001, 64, 8.0, 0.5
checkpoints_grid_search/run_lr5e-05_coord3.0_noobj0.1, 2.8364, 5e-05, 32, 3.0, 0.1
checkpoints_grid_search/run_lr5e-05_coord3.0_noobj0.3, 2.9817, 5e-05, 32, 3.0, 0.3
checkpoints_grid_search/run_lr5e-05_coord3.0_noobj0.5, 3.1460, 5e-05, 32, 3.0, 0.5
checkpoints_grid_search/run_lr5e-05_coord5.0_noobj0.1, 3.4854, 5e-05, 32, 5.0, 0.1
checkpoints_grid_search/run_lr5e-05_coord5.0_noobj0.3, 3.7070, 5e-05, 32, 5.0, 0.3
checkpoints_grid_search/run_lr5e-05_coord5.0_noobj0.5, 3.8126, 5e-05, 32, 5.0, 0.5
checkpoints_grid_search/run_lr5e-05_coord8.0_noobj0.1, 4.5111, 5e-05, 32, 8.0, 0.1
checkpoints_grid_search/run_lr5e-05_coord8.0_noobj0.3, 4.6308, 5e-05, 32, 8.0, 0.3
checkpoints_grid_search/run_lr5e-05_coord8.0_noobj0.5, 4.7305, 5e-05, 32, 8.0, 0.5
